Date,Open,High,Low,Close,Adj Close,Volume
28/10/2022,225.399994,228.860001,216.350006,228.520004,228.520004,69152400
31/10/2022,226.190002,229.850006,221.940002,227.539993,227.539993,61554300
1/11/2022,234.050003,237.399994,227.279999,227.820007,227.820007,62688800
2/11/2022,226.039993,227.869995,214.820007,214.979996,214.979996,63070300
3/11/2022,211.360001,221.199997,210.139999,215.309998,215.309998,56538800
4/11/2022,222.600006,223.800003,203.080002,207.470001,207.470001,98622200
7/11/2022,208.649994,208.899994,196.660004,197.080002,197.080002,93916500
8/11/2022,194.020004,195.199997,186.75,191.300003,191.300003,128803400
9/11/2022,190.779999,195.889999,177.119995,177.589996,177.589996,127062700
10/11/2022,189.899994,191,180.029999,190.720001,190.720001,132703000
11/11/2022,186,196.520004,182.589996,195.970001,195.970001,114403600
14/11/2022,192.770004,195.729996,186.339996,190.949997,190.949997,92226600
15/11/2022,195.880005,200.820007,192.059998,194.419998,194.419998,91293800
16/11/2022,191.509995,192.570007,185.660004,186.919998,186.919998,66567600
17/11/2022,183.960007,186.160004,180.899994,183.169998,183.169998,64336000
18/11/2022,185.050003,185.190002,176.550003,180.190002,180.190002,76048900
21/11/2022,175.850006,176.770004,167.539993,167.869995,167.869995,92882700
22/11/2022,168.630005,170.919998,166.190002,169.910004,169.910004,78452300
23/11/2022,173.570007,183.619995,172.5,183.199997,183.199997,109536700
25/11/2022,185.059998,185.199997,180.630005,182.860001,182.860001,50672700
28/11/2022,179.960007,188.5,179,182.919998,182.919998,92905200
29/11/2022,184.990005,186.380005,178.75,180.830002,180.830002,83357100
30/11/2022,182.429993,194.759995,180.630005,194.699997,194.699997,109186400
1/12/2022,197.080002,198.919998,191.800003,194.699997,194.699997,80046200
2/12/2022,191.779999,196.25,191.110001,194.860001,194.860001,73645900
5/12/2022,189.440002,191.270004,180.550003,182.449997,182.449997,93122700
6/12/2022,181.220001,183.649994,175.330002,179.820007,179.820007,92150800
7/12/2022,175.029999,179.380005,172.220001,174.039993,174.039993,84213300
8/12/2022,172.199997,175.199997,169.059998,173.440002,173.440002,97624500
9/12/2022,173.839996,182.5,173.360001,179.050003,179.050003,104872300
12/12/2022,176.100006,177.369995,167.520004,167.820007,167.820007,109794500
13/12/2022,174.869995,175.050003,156.910004,160.949997,160.949997,175862700
14/12/2022,159.25,161.619995,155.309998,156.800003,156.800003,140682300
15/12/2022,153.440002,160.929993,153.279999,157.669998,157.669998,122334500
16/12/2022,159.639999,160.990005,150.039993,150.229996,150.229996,139032200
19/12/2022,154,155.25,145.820007,149.869995,149.869995,139390600
20/12/2022,146.050003,148.470001,137.660004,137.800003,137.800003,159563300
21/12/2022,139.339996,141.259995,135.889999,137.570007,137.570007,145417400
22/12/2022,136,136.630005,122.260002,125.349998,125.349998,210090300
23/12/2022,126.370003,128.619995,121.019997,123.150002,123.150002,166989700
27/12/2022,117.5,119.669998,108.760002,109.099998,109.099998,208643400
28/12/2022,110.349998,116.269997,108.239998,112.709999,112.709999,221070500
29/12/2022,120.389999,123.57,117.5,121.82,121.82,221923300
30/12/2022,119.949997,124.480003,119.75,123.18,123.18,157777300
3/1/2023,118.470001,118.800003,104.639999,108.099998,108.099998,231402800
4/1/2023,109.110001,114.589996,107.519997,113.639999,113.639999,180389000
5/1/2023,110.510002,111.75,107.160004,110.339996,110.339996,157986300
6/1/2023,103,114.389999,101.809998,113.059998,113.059998,220911100
9/1/2023,118.959999,123.519997,117.110001,119.769997,119.769997,190284000
10/1/2023,121.07,122.760002,114.919998,118.849998,118.849998,167642500
11/1/2023,122.089996,125.949997,120.510002,123.220001,123.220001,183810800
12/1/2023,122.559998,124.129997,117,123.559998,123.559998,169400900
13/1/2023,116.550003,122.629997,115.599998,122.400002,122.400002,180714100
17/1/2023,125.699997,131.699997,125.019997,131.490005,131.490005,186477000
18/1/2023,136.559998,136.679993,127.010002,128.779999,128.779999,195680300
19/1/2023,127.260002,129.990005,124.309998,127.169998,127.169998,170291900
20/1/2023,128.679993,133.509995,127.349998,133.419998,133.419998,138858100
23/1/2023,135.869995,145.380005,134.270004,143.75,143.75,203119200
24/1/2023,143,146.5,141.100006,143.889999,143.889999,158699100
25/1/2023,141.910004,146.410004,138.070007,144.429993,144.429993,192734300
26/1/2023,159.970001,161.419998,154.759995,160.270004,160.270004,234815100
27/1/2023,162.429993,180.679993,161.169998,177.899994,177.899994,306590600
30/1/2023,178.050003,179.770004,166.5,166.660004,166.660004,230878800
31/1/2023,164.570007,174.300003,162.779999,173.220001,173.220001,196813500
1/2/2023,173.889999,183.809998,169.929993,181.410004,181.410004,213806300
2/2/2023,187.330002,196.75,182.610001,188.270004,188.270004,217448300
3/2/2023,183.949997,199,183.690002,189.979996,189.979996,232662000
6/2/2023,193.009995,198.169998,189.919998,194.759995,194.759995,186188100
7/2/2023,196.429993,197.5,189.550003,196.809998,196.809998,186010300
8/2/2023,196.100006,203,194.309998,201.289993,201.289993,180673600
9/2/2023,207.779999,214,204.770004,207.320007,207.320007,215431400
10/2/2023,202.229996,206.199997,192.889999,196.889999,196.889999,204754100
13/2/2023,194.419998,196.300003,187.610001,194.639999,194.639999,172475500
14/2/2023,191.940002,209.820007,189.440002,209.25,209.25,216455700
15/2/2023,211.759995,214.660004,206.110001,214.240005,214.240005,181006400
16/2/2023,210.779999,217.649994,201.839996,202.039993,202.039993,229586500
17/2/2023,199.990005,208.440002,197.5,208.309998,208.309998,213738500
21/2/2023,204.990005,209.710007,197.220001,197.369995,197.369995,180018600
22/2/2023,197.929993,201.990005,191.779999,200.860001,200.860001,191828500
23/2/2023,203.910004,205.139999,196.330002,202.070007,202.070007,146360000
24/2/2023,196.330002,197.669998,192.800003,196.880005,196.880005,142228100
27/2/2023,202.029999,209.419998,201.259995,207.630005,207.630005,161028300
28/2/2023,210.589996,211.229996,203.75,205.710007,205.710007,153144900
1/3/2023,206.210007,207.199997,198.520004,202.770004,202.770004,156852800
2/3/2023,186.740005,193.75,186.009995,190.899994,190.899994,181500700
3/3/2023,194.800003,200.479996,192.880005,197.789993,197.789993,154193300
6/3/2023,198.539993,198.600006,192.300003,193.809998,193.809998,128100100
7/3/2023,191.380005,194.199997,186.100006,187.710007,187.710007,148125800
8/3/2023,185.039993,186.5,180,182,182,151897800
9/3/2023,180.25,185.179993,172.509995,172.919998,172.919998,170023800
10/3/2023,175.130005,178.289993,168.440002,173.440002,173.440002,191488900
13/3/2023,167.460007,177.350006,163.910004,174.479996,174.479996,167790300
14/3/2023,177.309998,183.800003,177.139999,183.259995,183.259995,143717900
15/3/2023,180.800003,182.339996,176.029999,180.449997,180.449997,145995600
16/3/2023,180.369995,185.809998,178.839996,184.130005,184.130005,121136800
17/3/2023,184.520004,186.220001,177.330002,180.130005,180.130005,133197100
20/3/2023,178.080002,186.440002,176.350006,183.25,183.25,129684400
21/3/2023,188.279999,198,188.039993,197.580002,197.580002,153391400
22/3/2023,199.300003,200.660004,190.949997,191.149994,191.149994,150376400
23/3/2023,195.259995,199.309998,188.649994,192.220001,192.220001,144193900
24/3/2023,191.649994,192.360001,187.149994,190.410004,190.410004,116312400
27/3/2023,194.419998,197.389999,189.940002,191.809998,191.809998,120851600
28/3/2023,192,192.350006,185.429993,189.190002,189.190002,98654600
29/3/2023,193.130005,195.289993,189.440002,193.880005,193.880005,123660000
30/3/2023,195.580002,197.330002,194.419998,195.279999,195.279999,110252200
31/3/2023,197.529999,207.789993,197.199997,207.460007,207.460007,170222100
3/4/2023,199.910004,202.690002,192.199997,194.770004,194.770004,169545900
4/4/2023,197.320007,198.740005,190.320007,192.580002,192.580002,126463800
5/4/2023,190.520004,190.679993,183.759995,185.520004,185.520004,133882500
6/4/2023,183.080002,186.389999,179.740005,185.059998,185.059998,123857900
10/4/2023,179.940002,185.100006,176.110001,184.509995,184.509995,142154600
11/4/2023,186.690002,189.190002,185.649994,186.789993,186.789993,115770900
12/4/2023,190.740005,191.580002,180.309998,180.539993,180.539993,150256300
13/4/2023,182.960007,186.5,180.940002,185.899994,185.899994,112933000
14/4/2023,183.949997,186.279999,182.009995,185,185,96438700
17/4/2023,186.320007,189.690002,182.690002,187.039993,187.039993,116662200
18/4/2023,187.149994,187.690002,183.580002,184.309998,184.309998,92067000
19/4/2023,179.100006,183.5,177.649994,180.589996,180.589996,125732700
20/4/2023,166.169998,169.699997,160.559998,162.990005,162.990005,210970800
21/4/2023,164.800003,166,161.320007,165.080002,165.080002,123539000
24/4/2023,164.649994,165.649994,158.610001,162.550003,162.550003,140006600
25/4/2023,159.820007,163.470001,158.75,160.669998,160.669998,121999300
26/4/2023,160.289993,160.669998,153.139999,153.75,153.75,153364100
27/4/2023,152.639999,160.479996,152.369995,160.190002,160.190002,127015200
28/4/2023,160.899994,165,157.320007,164.309998,164.309998,122515800
1/5/2023,163.169998,163.279999,158.830002,161.830002,161.830002,109015000
2/5/2023,161.880005,165.490005,158.929993,160.309998,160.309998,128259700
3/5/2023,160.009995,165,159.910004,160.610001,160.610001,119728000
4/5/2023,162.710007,162.949997,159.649994,161.199997,161.199997,95108500
5/5/2023,163.970001,170.789993,163.509995,170.059998,170.059998,107440900
8/5/2023,173.720001,173.800003,169.190002,171.789993,171.789993,112249400
9/5/2023,168.949997,169.820007,166.559998,169.149994,169.149994,88965000
10/5/2023,172.550003,174.429993,166.679993,168.539993,168.539993,119840700
11/5/2023,168.699997,173.570007,166.789993,172.080002,172.080002,103889900
12/5/2023,176.070007,177.380005,167.229996,167.979996,167.979996,157577100
15/5/2023,167.660004,169.759995,164.550003,166.350006,166.350006,105592500
16/5/2023,165.649994,169.520004,164.350006,166.520004,166.520004,98288800
17/5/2023,168.410004,174.5,167.190002,173.860001,173.860001,125473600
18/5/2023,174.220001,177.059998,172.449997,176.889999,176.889999,109520300
19/5/2023,177.169998,181.949997,176.309998,180.139999,180.139999,136024200
22/5/2023,180.699997,189.320007,180.110001,188.869995,188.869995,132001400
23/5/2023,186.199997,192.960007,185.259995,185.770004,185.770004,156952100
24/5/2023,182.229996,184.220001,178.220001,182.899994,182.899994,137605100
25/5/2023,186.539993,186.779999,180.580002,184.470001,184.470001,96870700
26/5/2023,184.619995,198.600006,184.529999,193.169998,193.169998,162061500
30/5/2023,200.100006,204.479996,197.529999,201.160004,201.160004,128818700
31/5/2023,199.779999,203.949997,195.119995,203.929993,203.929993,150711700
1/6/2023,202.589996,209.800003,199.369995,207.520004,207.520004,148029900
2/6/2023,210.149994,217.25,209.75,213.970001,213.970001,164129000
5/6/2023,217.800003,221.289993,214.520004,217.610001,217.610001,151143100
6/6/2023,216.139999,221.910004,212.529999,221.309998,221.309998,146911600
7/6/2023,228,230.830002,223.199997,224.570007,224.570007,185710800
8/6/2023,224.220001,235.229996,223.009995,234.860001,234.860001,164489700
9/6/2023,249.070007,252.419998,242.020004,244.399994,244.399994,199882300
12/6/2023,247.940002,250.970001,244.589996,249.830002,249.830002,150337900
13/6/2023,253.509995,259.679993,251.339996,258.709991,258.709991,162384300
14/6/2023,260.170013,261.570007,250.5,256.790009,256.790009,170575500
15/6/2023,248.399994,258.950012,247.289993,255.899994,255.899994,160171200
16/6/2023,258.920013,263.600006,257.209991,260.540009,260.540009,167563700
20/6/2023,261.5,274.75,261.119995,274.450012,274.450012,165611200
21/6/2023,275.130005,276.98999,257.779999,259.459991,259.459991,210937500
